osmotic  Ion str. g(H2O)   g(H)     g(Na)    g(Mg)    g(Ca)    g(K)     g(MgOH)  g(TRISH) g(Cl)    g(SO4)   g(HSO4)  g(OH)    g(TRIS)   [H]      [Na]     [Mg]     [Ca]     [K]     [MgOH]    [TRISH]  [Cl]     [SO4]    [HSO4]   [OH]     [TRIS]  
0.778572 0.300000 0.995801 0.651043 0.688259 0.185971 0.149332 0.675422 0.627719 0.627719 0.693753 0.179766 0.709997 0.666973 1.000000  0.050000 0.150000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 
0.760917 0.300000 0.995896 0.647213 0.694134 0.186960 0.150068 0.680010 0.628535 0.628535 0.710191 0.170050 0.741312 0.640044 1.000000  0.150000 0.050000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 
0.636912 3.000000 0.966163 0.430035 0.521888 0.126712 0.102872 0.520890 0.363996 0.363996 0.668238 0.029476 0.687888 0.511400 1.000000  0.500000 1.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
0.619665 3.000000 0.967064 0.414113 0.580406 0.139610 0.110630 0.685955 0.376687 0.376687 0.848961 0.026135 1.048359 0.414424 1.000000  1.500000 0.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
0.942914 0.100000 0.996608 0.825260 0.787211 0.402783 0.436635 0.752890 0.736988 0.736988 0.779695 0.323130 0.794427 0.765662 1.000000  0.025000 0.075000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 
0.952934 0.100000 0.996572 0.821610 0.789291 0.401862 0.435661 0.753395 0.736328 0.736328 0.788009 0.311215 0.811235 0.745756 1.000000  0.075000 0.025000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 
0.980504 1.000000 0.965289 0.981488 0.679029 0.303201 0.392184 0.507070 0.467929 0.467929 0.667958 0.078745 0.726461 0.598060 1.000000  0.250000 0.750000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.058807 1.000000 0.962569 0.946819 0.694925 0.308552 0.404222 0.505722 0.464938 0.464938 0.745287 0.064077 0.855085 0.504565 1.000000  0.750000 0.250000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
0.927520 0.100000 0.996664 0.743229 0.779223 0.302311 0.245712 0.790385 0.739227 0.739227 0.775187 0.325840 0.796840 0.767988 1.000000  0.025000 0.075000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 
0.916459 0.100000 0.996703 0.741791 0.783334 0.304091 0.247138 0.793047 0.740457 0.740457 0.785409 0.316352 0.815784 0.749938 1.000000  0.075000 0.025000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 
0.922346 1.000000 0.967313 0.512959 0.686332 0.063594 0.033350 0.753307 0.485994 0.485994 0.633243 0.085859 0.754507 0.621148 1.000000  0.250000 0.750000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 
0.859979 1.000000 0.969490 0.504526 0.725446 0.068325 0.035802 0.781252 0.495526 0.495526 0.720348 0.072755 0.911340 0.537760 1.000000  0.750000 0.250000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 
0.882687 0.142865 0.997504 0.758229 0.742541 0.320216 0.319682 0.728083 0.843388 0.702043 0.797655 0.237059 0.803428 0.695339 1.000000  0.014290 0.000000 0.042860 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 
0.921099 0.120000 0.997018 0.776584 0.762655 0.358721 0.358086 0.747854 0.872171 0.720002 0.796015 0.266684 0.812364 0.712993 1.000000  0.060000 0.000000 0.020000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 
0.968222 1.428570 0.972962 0.736438 0.606295 0.152093 0.142254 0.516974 0.762498 0.427077 0.873265 0.089611 0.891302 0.386674 1.000000  0.142860 0.000000 0.428570 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
1.020298 1.200000 0.967456 0.768459 0.649680 0.215454 0.201520 0.553741 0.887632 0.450097 0.840687 0.070576 0.931163 0.407400 1.000000  0.600000 0.000000 0.200000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
0.630205 0.385705 0.997570 0.634156 0.675322 0.172333 0.144667 0.658361 0.613051 0.613051 0.757302 0.168187 0.764877 0.611423 1.000000  0.028570 0.000000 0.085710 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 
0.708495 0.340000 0.996687 0.641305 0.688103 0.182265 0.149767 0.672275 0.622702 0.622702 0.739051 0.166604 0.763586 0.620913 1.000000  0.120000 0.000000 0.040000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 
0.553166 3.857135 0.978872 0.380881 0.500494 0.062474 0.049419 0.444614 0.336208 0.336208 1.005834 0.049070 0.952972 0.327549 1.000000  0.285710 0.000000 0.857140 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
0.596386 3.400000 0.972452 0.392144 0.552789 0.095267 0.075190 0.598430 0.358446 0.358446 0.980535 0.033658 1.125101 0.349096 1.000000  1.200000 0.000000 0.400000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
